院校名称,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23拟录取情况,23拟录取情况,24复试名单,学费学制,,
,,,计算机学院,081200计算机科学与技术,,,"计算机程序设计综合能力测试(语言不
限)，初复试占比6：4",72,300,330/38/57,"最高分：415
最低分：336
平均分：350",,,,
,,,,083500软件工程,,,,15,285,280/38/57,"最高分：360
最低分：291
平均分：313",,,,
,,,,085404电子信息-计算机技术,,,,154,300,300/38/57,"最高分：403
最低分：301
平均分：336",,,,
,,,,085405电子信息-软件工程,,,,49,290,290/38/57,"最高分：388
最低分：290
平均分：322",,,,
北京工业大学,北京工业大学（Beijing University Of Technology），简称北工大（BJUT），位于中国北京市，由北京市人民政府教育行政部门主管，是一所以工为主，工、理、经、管、文、法、艺术、教育相结合的多科性市属重点大学，是国家“双一流”建设高校”、国家“211工程”建设高校。,计算机为B+，软件工程B+,信息学部计算机科学与技术系,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"编程能力测试、离散
数学、数据库原理
",65【32】,328,311/45/70,"最高分：411
最低分：311
平均分：334","一志愿拟录取名单：https://yanzhao.bjut.edu.cn/info/1019/15768.htm
信息学部拟录取：https://xxxb.bjut.edu.cn/info/1216/3208.htm","学制：3年
学费：信息学部计算机科学与技术系，8000/年/生
信息学部软件系，学硕8000/年/生/生
专：三学年分别为16000元、16000元、8000元。",,
,,,,083900网络空间安全,,,,6【3】,314,273/38/57,"最高分：427
最低分：299
平均分：318",,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,103【50】,326,336/45/40/70/70,"最高分：405
最低分：336
平均分：360",,,,
,,,"信息学部软件工程系
24改考",083500软件工程,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"计算机网络、软件
工程",21【10】,312,293/45/65,"最高分：427
最低分：299
平均分：318",,,,
,,,,085400电子信息-软件工程,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,98【30】,296,325/45/65,"最高分：427
最低分：299
平均分：318",,,,
北京交通大学,北京交通大学（Beijing Jiaotong University），位于北京市，是中华人民共和国教育部直属，教育部、交通运输部、北京市人民政府、中国国家铁路集团有限公司共建的全国重点大学，是国家“双一流”建设高校、 [53]“211工程”建设高校、先后入选“985工程优势学科创新平台”、高等学校创新能力提升计划、“111计划”、卓越工程师教育培养计划。,计算机A-，软件工程B+。,"计算机与信息技术学院
25改考",081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,复试由专业课笔试和综合面试(含外语听力口语测试)组成。,106【80】,之前考数据结构+操作系统，没有参考意义，可以参考同类型其他211院校的成绩,,,一志愿拟录取名单（网页已经打不开了）：https://scit.bjtu.edu.cn/cms/item/5364.html,"学制：3年
学费：学硕8000元/生学年
专硕(软件工程)20000元/生·学年；其他专业学位：8000元/生学年",,
,,,,083500软件工程,,,,4【1】,,,,,,,
,,,,083900网络空间安全,,,,20【12】,,,,,,,
,,,,085400电子信息-计算机技术,,,,68【33】,,,,,,,
,,,,085400电子信息-人工智能,,,,35【27】,,,,,,,
"华南农业大学
双一流",华南农业大学（华农，South China Agricultural University），创建于1909年，坐落于广东省广州市，是广东省人民政府和农业农村部共建的省部共建大学，也是广东省“211工程”、广东省高水平大学建设高校。,第四轮评级：计算机C，软件工程无评级。,数学与信息学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"上机测试方式,编程可以使C/C++主要内容包括C语言程序设计、数据结构、算法设计与分析；初复试占比5：5
",15【7】,273,273/38/57,"最高分：369
最低分：278
平均分：308",https://info.scau.edu.cn/2024/0402/c3773a370416/page.htm,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,129【16】,300,305/38/57,"最高分：402
最低分：308
平均分：333",,,,
,,,电子工程学院(人工智能学院）,085400电子信息-人工智能,,,数字图像处理、机器学习、程序设计基础,46,273,273/38/57,"最高分：394
最低分：281
平均分：321",https://dzxy.scau.edu.cn/2024/0331/c9675a370159/page.htm,,,
"南京理工大学
211",南京理工大学，位于江苏省南京市，北依紫金山，西临明城墙，是隶属于工业和信息化部，由工信部、教育部与江苏省人民政府共建的全国重点大学，是国家“世界一流学科建设高校“，是国家“211工程”、“985工程优势学科创新平台”重点建设高校。,第四轮评级：计算机B+，软件B。,计算机科学与工程学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"1、程序设计(C++上机操作)
2、编译原理与算法设计",8,325,38/57/350,"最高分：368
最低分：350
平均分：358",复试名单：https://cs.njust.edu.cn/0d/54/c1754a331092/page.htm,"学制：学术学位2.5年，专业学位2.5年

学费：全日制学术学位硕士研究生：8000元/学年

全日制专业学位硕士研究生：10000元/学年",,
,,,,083500软件工程,,,,12,330,38/57/323,"最高分：368
最低分：350
平均分：358",,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,"1程序设计
(C++上机操作)
2数据库与计算机网络
",60,349,355/38/57,"最高分：417
最低分：355
平均分：374",,,,
,,,,085400电子信息-软件工程,,,,30,349,355/38/57,"最高分：396
最低分：357
平均分：372",,,,
,,,,"085400电子信息-人工智能
24新增",,,,25,273,,,,,,
,,,网络空间安全学院,083900网络空间安全,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④878网络空间安全基础
(计算机组成原理、操作系统、计算机网络)",,"1、程序设计(C++上机操作)
2、计算机网络与信息安全",12,273,38/57/273,"最高分：347
最低分：274
平均分：311",复试名单（公示期已结束）https://scs.njust.edu.cn/0d/52/c15612a331090/page.htm,,,
,,,,085400电子信息-网络空间安全,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④878网络空间安全基础
(计算机组成原理、操作系统、计算机网络)",,,25,300,320/38/57,"最高分：412
最低分：321
平均分：362",,,,
南京邮电大学,南京邮电是教育部、工业和信息化部、国家邮政局与江苏省共建高校。南京邮电大学尽管不是“211工程”大学，但成功入选双一流世界一流学科建设高校的行列当中,在第四轮学科评估中，计算机B-，软件工程B。,计算机学院/软件学院/网络空间安全学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 811数据结构",,"微机原理及应用、操作系统 2选1
【不招收同等学力】
",33,341,323,"最高分：400
最低分：332
平均分：360",复试成绩：https://cs.njupt.edu.cn/2024/0403/c9375a258986/page.htm,,,
,,,,"083900网络空间安全
",,,,22,311,320,"最高分：389
最低分：335
平均分：361",,,,
,,,,083500软件工程,,,,10,311,297,"最高分：379
最低分：297
平均分：340",,,,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④811数据结构",,,187,339,355,"最高分：437
最低分：359
平均分：379",,,,
,,,物联网学院,085400电子信息-物联网技术,,,微机原理及应用【不招收同等学力】,15,330,336,"最高分：423
最低分：339
平均分：363",一志愿复试成绩：https://ciot.njupt.edu.cn/2024/0402/c10653a258810/page.htm,,,
,,,现代邮政学院,085400电子信息-大数据区块链技术,,,操作系统【不招收同等学力】,28,299,350,"最高分：422
最低分：350
平均分：372",复试综合成绩：https://simp.njupt.edu.cn/2024/0403/c7778a258993/page.htm,,,
